site,date,net,month,matcode
TAM,06/21/22,GIL30,6,m
TAM,06/21/22,GIL20,6,m
TAM,06/21/22,GIL20,6,m
TAM,06/21/22,GIL10,6,m
TAM,06/21/22,GIL10,6,m
TAM,06/21/22,HOPS,6,m
TAM,06/21/22,HOPS,6,m
TAM,06/21/22,HOPS,6,m
TAM,06/21/22,HOPS,6,m
TAM,06/21/22,HOPS,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
HEK,06/22/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
DAG,06/23/22,GIL20,6,m
DAG,06/23/22,GIL10,6,m
DAG,06/23/22,GIL10,6,m
DAG,06/23/22,GIL10,6,m
DAG,06/23/22,GIL10,6,m
ABY,06/25/22,GIL20,6,m
ABY,06/25/22,GIL20,6,m
ABY,06/25/22,GIL20,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
ABY,06/25/22,GIL10,6,m
BLH,06/26/22,GIL30,6,m
BLH,06/26/22,GIL30,6,m
BLH,06/26/22,GIL10,6,m
BLH,06/26/22,GIL10,6,m
BLH,06/26/22,GIL10,6,m
BLH,06/26/22,GIL10,6,m
BLH,06/26/22,GIL10,6,m
BLH,06/26/22,GIL10,6,m
TAM,06/21/22,GIL20,6,m
ABY,07/29/22,GIL10,7,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PLQ,06/27/22,GIL10,6,m
PYR,06/28/22,GIL30,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL20,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PYR,06/28/22,GIL10,6,m
PLQ,07/27/22,GIL10,7,m
PEP,07/23/22,GIL20,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,07/23/22,GIL10,7,m
PEP,06/16/22,GIL10,6,m
TAM,05/04/22,GIL10,5,m
BLH,05/21/22,GIL30,5,m
ABY,06/25/22,GIL10,6,m
NTS,07/24/22,GIL10,7,m
